날짜,도시가스,전기료,지역난방비,취사용LPG,자동차용LPG
2015-05-01,115.278,116.261,123.758,97.044,103.571
2015-06-01,115.278,116.261,123.696,96.957,103.459
2015-07-01,115.461,108.848,123.696,96.467,101.969
2015-08-01,115.62,108.848,123.696,96.438,101.775
2015-09-01,120.229,108.848,123.696,95.639,100.469
2015-10-01,120.229,116.261,123.77,93.35,96.592
2015-11-01,120.229,116.261,123.77,93.061,96.194
2015-12-01,120.229,116.261,123.77,94.014,98.725
2016-01-01,110.67,116.261,115.49,94.139,98.898
2016-02-01,110.67,116.261,115.44,93.638,97.612
2016-03-01,101.344,116.261,107.383,91.531,93.786
2016-04-01,101.331,116.261,107.333,90.906,92.297
2016-05-01,97.224,116.261,102.865,90.791,92.297
2016-06-01,97.224,116.261,102.803,90.791,93.235
2016-07-01,97.237,94.489,96.318,90.723,93.062
2016-08-01,97.334,94.489,95.996,88.915,89.572
2016-09-01,97.334,94.489,95.996,88.568,88.103
2016-10-01,97.359,116.261,95.996,88.443,87.818
2016-11-01,102.48,116.261,99.858,90.175,91.623
2016-12-01,102.48,102.772,100.056,91.964,95.154
2017-01-01,102.493,102.772,100.056,92.147,95.205
2017-02-01,102.505,102.772,100.056,96.303,101.816
2017-03-01,105.255,102.772,102.197,101.075,108.571
2017-04-01,105.255,102.772,102.246,100.873,108.632
2017-05-01,107.052,102.772,104.425,99.892,106.55
2017-06-01,107.052,102.772,104.425,97.083,103.132
2017-07-01,107.101,102.772,99.264,95.639,99.306
2017-08-01,107.15,102.772,99.053,95.659,99.265
2017-09-01,107.162,102.772,99.053,97.766,102.867
2017-10-01,107.162,102.772,98.905,100.228,106.295
2017-11-01,98.349,102.772,97.58,103.567,111.795
2017-12-01,98.349,102.772,97.58,103.567,111.825
2018-01-01,98.349,102.772,97.58,103.423,111.866
2018-02-01,98.349,102.772,97.58,103.5,111.948
2018-03-01,98.337,102.772,97.58,101.758,108.275
2018-04-01,98.337,102.772,97.58,99.545,104.653
2018-05-01,98.337,102.772,97.58,99.44,104.53
2018-06-01,98.337,102.772,97.58,100.325,106.714
2018-07-01,101.881,84.73,98.038,102.759,109.938
2018-08-01,101.808,84.73,98.038,105.01,113.233
2018-09-01,101.771,102.772,98.038,105.068,113.182
2018-10-01,101.771,102.772,98.038,108.339,117.968
2018-11-01,101.771,102.772,98.038,108.406,115.539
2018-12-01,101.771,102.772,98.038,105.308,109.244
2019-01-01,101.747,102.772,98.038,100.44,101.296
2019-02-01,101.747,102.772,98.038,100.527,100.888
2019-03-01,101.747,102.772,98.038,100.354,100.755
2019-04-01,101.747,102.772,98.038,100.479,100.643
2019-05-01,101.747,102.772,98.038,103.673,106.826
2019-06-01,101.747,102.772,98.038,104.038,107.785
2019-07-01,105.426,86.138,98.038,99.978,101.071
2019-08-01,105.451,86.138,101.293,99.468,99.622
2019-09-01,105.426,102.772,101.293,98.699,99.092
2019-10-01,105.426,102.772,101.293,98.93,99.041
2019-11-01,105.438,102.772,101.293,101.344,102.449
2019-12-01,105.438,102.772,101.293,101.941,103.745
2020-01-01,105.43,102.74,101.27,102.07,103.84
2020-02-01,105.43,102.74,101.27,106.68,110.68
2020-03-01,105.43,102.74,101.27,106.9,110.7
2020-04-01,105.43,102.74,101.27,101.92,103.68
2020-05-01,105.43,102.74,101.27,94.41,91.45
2020-06-01,105.43,102.74,101.27,96.65,94.68
2020-07-01,94.46,86.29,98.73,97.41,96.02
2020-08-01,94.59,86.29,98.73,97.48,96.06
2020-09-01,94.59,102.74,98.73,98.08,97.08
2020-10-01,94.59,102.74,98.73,98.53,97.56
2020-11-01,94.59,102.74,98.73,98.64,97.44
2020-12-01,94.59,102.74,98.73,101.22,100.81
2021-01-01,94.59,100.38,98.73,100.96,100.83
2021-02-01,94.59,100.38,98.73,105.73,107.24
