Date,Total CPI,All items (non-food non-energy),Food and non-alcoholic beverages,"Housing, water, electricity, and fuel",Services less housing,Transportation,Miscellaneous goods and services,Education,Clothing and footwear,"Alcoholic beverages, tobacco and narcotics",Household goods and services,Energy,Recreation and culture,Restaurants and hotels,Health
2017-09-14,0.6900930575805129,0.7611477127915283,0.6248258126615016,0.7559242315040002,0.7060549146820598,0.3305019942759255,0.6866067453391294,0.8207468433008671,0.8448001833500243,0.9559028995056296,0.6554837421475876,0.2894883964706163,0.7266950406034312,0.6131266228298267,0.6922025545414936
2017-09-15,0.6899220620263966,0.7615044246129656,0.6225673488567018,0.7563090094569302,0.7064471539975132,0.3323438698518828,0.6870543511549636,0.820771703000446,0.8448001833500243,0.9557949087714501,0.6563287104842677,0.2905857329505843,0.7308529426944652,0.6133857203930138,0.6916584921202826
2017-09-16,0.6897510664722812,0.761861136434403,0.6203088850519016,0.7566937874098603,0.7068393933129684,0.33418574542784096,0.687501956970797,0.8207965627000249,0.8448001833500243,0.9556869180372702,0.6571736788209486,0.2916830694305528,0.7350108447855028,0.6136448179562013,0.6911144296990734
2017-09-17,0.6895800709181659,0.7622178482558395,0.6180504212471014,0.7570785653627903,0.7072316326284218,0.33602762100379824,0.6879495627866312,0.8208214223996038,0.8448001833500243,0.9555789273030908,0.6580186471576295,0.29278040591052124,0.7391687468765387,0.6139039155193888,0.6905703672778625
2017-09-18,0.6894090753640496,0.7625745600772778,0.6157919574423016,0.7574633433157203,0.7076238719438761,0.3378694965797555,0.6883971686024646,0.8208462820991826,0.8448001833500243,0.9554709365689114,0.6588636154943104,0.2938777423904897,0.7433266489675745,0.6141630130825759,0.6900263048566515
2017-09-19,0.6892380798099342,0.7629312718987142,0.6135334936375019,0.7578481212686503,0.7080161112593295,0.3397113721557137,0.6888447744182988,0.8208711417987615,0.8448001833500243,0.9553629458347319,0.6597085838309904,0.29497507887045815,0.7474845510586086,0.6144221106457635,0.6894822424354423
2017-09-20,0.6890670842558189,0.7632879837201516,0.6112750298327017,0.7582328992215803,0.7084083505747838,0.34155324773167006,0.6892923802341331,0.8208960014983404,0.8448001833500243,0.9552549551005525,0.6605535521676713,0.29607241535042617,0.7516424531496444,0.6146812082089514,0.6889381800142313
2017-09-21,0.6888960887017026,0.763644695541589,0.6090165660279019,0.7586176771745103,0.7088005898902381,0.3433951233076282,0.6897399860499673,0.8209208611979193,0.8448001833500243,0.9551469643663726,0.6613985205043522,0.2971697518303946,0.755800355240682,0.6149403057721385,0.6883941175930204
2017-09-22,0.6887250931475872,0.7640014073630264,0.6067581022231017,0.7590024551274404,0.7091928292056924,0.3452369988835855,0.6901875918658007,0.8209457208974982,0.8448001833500243,0.9550389736321936,0.6622434888410331,0.2982670883103631,0.7599582573317178,0.6151994033353261,0.6878500551718094
2017-09-23,0.6885540975934719,0.7643581191844628,0.6044996384183015,0.7593872330803695,0.7095850685211458,0.3470788744595428,0.6906351976816341,0.820970580597078,0.8448001833500243,0.9549309828980137,0.6630884571777131,0.2993644247903311,0.7641161594227519,0.6154585008985136,0.6873059927505984
2017-09-24,0.6883831020393556,0.7647148310059011,0.6022411746135017,0.7597720110332995,0.7099773078366001,0.34892075003550094,0.6910828034974683,0.8209954402966568,0.8448001833500243,0.9548229921638343,0.663933425514394,0.30046176127029955,0.7682740615137877,0.6157175984617007,0.6867619303293893
