Date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2012-01-16,0.32714613936167,0.347500596018044,0.029859693320003124,0.2701464948984591,0.35918682591073914,0.2849933023329449,0.3816326067610141,0.8313068134044145,0.7734709797684052,0.3077178902840606,0.2641199512192438,0.22412244879196377,0.23096631805435383,0.2314457485884393,0.8944436083575552,0.2200894054507434,0.21090671515189893,0.24103846123250267,0.3062792439231347,0.13670221570480867,0.6819463255234129,0.15917843990593925
2012-01-17,0.3277488333690452,0.34722460821052786,0.030245479543905916,0.2712900217409637,0.360287884734956,0.285992716081609,0.3827301818191881,0.8335015394419055,0.7734709797684052,0.3067654057250836,0.2647928448163351,0.22420738980876173,0.2316472645307083,0.23210557238812585,0.8957897118728223,0.2205464153209928,0.2111380766932919,0.24189727928951604,0.3066476294555767,0.13889013960311358,0.6821762292197163,0.15931113603626226
2012-01-18,0.3283515273764204,0.34694862040301166,0.03063126576780871,0.2724335485834683,0.36138894355917295,0.28699212983027306,0.38382775687736215,0.8356962654793966,0.7734709797684052,0.30581292116610653,0.26546573841342636,0.22429233082555966,0.2323282110070628,0.23276539618781236,0.8971358153880895,0.22100342519124222,0.21136943823468488,0.2427560973465294,0.3070160149880187,0.1410780635014185,0.6824061329160198,0.15944383216658528
2012-01-19,0.3289542213837956,0.3466726325954955,0.0310170519917115,0.2735770754259729,0.36249000238338985,0.28799154357893714,0.38492533193553613,0.8378909915168876,0.7734709797684052,0.30486043660712947,0.26613863201051763,0.22437727184235762,0.23300915748341727,0.2334252199874989,0.8984819189033566,0.22146043506149163,0.21160079977607787,0.24361491540354277,0.3073844005204608,0.14326598739972343,0.6826360366123232,0.1595765282969083
2012-01-20,0.3295569153911708,0.3463966447879793,0.03140283821561429,0.2747206022684775,0.36359106120760676,0.2889909573276012,0.38602290699371017,0.8400857175543787,0.7734709797684052,0.30390795204815246,0.2668115256076089,0.22446221285915555,0.23369010395977174,0.23408504378718545,0.8998280224186238,0.22191744493174104,0.21183216131747085,0.24447373346055615,0.3077527860529028,0.14545391129802834,0.6828659403086267,0.15970922442723132
2012-01-21,0.33015960939854605,0.3461206569804631,0.03178862443951709,0.2758641291109821,0.36469212003182366,0.2899903710762653,0.38712048205188415,0.8422804435918697,0.7734709797684052,0.3029554674891754,0.2674844192047002,0.22454715387595348,0.23437105043612622,0.23474486758687196,0.901174125933891,0.22237445480199045,0.21206352285886382,0.2453325515175695,0.3081211715853448,0.14764183519633325,0.6830958440049302,0.15984192055755433
2012-01-22,0.3307623034059212,0.345844669172947,0.03217441066341988,0.2770076559534867,0.36579317885604057,0.2909897848249294,0.3882180571100582,0.8444751696293608,0.7734709797684052,0.30200298293019834,0.26815731280179145,0.22463209489275143,0.23505199691248072,0.2354046913865585,0.9025202294491581,0.22283146467223985,0.21229488440025682,0.24619136957458287,0.30848955711778686,0.1498297590946382,0.6833257477012336,0.15997461668787735
2012-01-23,0.33136499741329645,0.3455686813654308,0.03256019688732267,0.2781511827959913,0.3668942376802575,0.29198919857359346,0.3893156321682322,0.8466698956668518,0.7734709797684052,0.30105049837122133,0.2688302063988827,0.22471703590954936,0.2357329433888352,0.23606451518624505,0.9038663329644253,0.22328847454248926,0.2125262459416498,0.24705018763159625,0.30885794265022887,0.1520176829929431,0.683555651397537,0.16010731281820037
2012-01-24,0.3319676914206717,0.34529269355791464,0.03294598311122547,0.2792947096384959,0.3679952965044744,0.2929886123222576,0.39041320722640616,0.848864621704343,0.7734709797684052,0.30009801381224427,0.269503099995974,0.22480197692634732,0.23641388986518969,0.23672433898593156,0.9052124364796924,0.22374548441273867,0.21275760748304276,0.2479090056886096,0.3092263281826709,0.15420560689124801,0.6837855550938404,0.1602400089485234
2012-01-25,0.33257038542804684,0.34501670575039844,0.03333176933512826,0.2804382364810005,0.3690963553286913,0.29398802607092167,0.3915107822845802,0.851059347741834,0.7734709797684052,0.2991455292532672,0.27017599359306527,0.22488691794314525,0.23709483634154416,0.2373841627856181,0.9065585399949596,0.22420249428298808,0.21298896902443576,0.24876782374562298,0.30959471371511293,0.15639353078955293,0.6840154587901439,0.16037270507884643
2012-01-26,0.33317307943542207,0.34474071794288225,0.033717555559031054,0.2815817633235051,0.3701974141529082,0.29498743981958575,0.3926083573427542,0.853254073779325,0.7734709797684052,0.2981930446942902,0.27084888719015654,0.22497185895994318,0.23777578281789863,0.23804398658530462,0.9079046435102267,0.2246595041532375,0.21322033056582873,0.24962664180263633,0.30996309924755494,0.15858145468785786,0.6842453624864474,0.16050540120916945
