날짜,실제 YoY,예측 YoY
2018-07-01,11.859307109624325,-7.863196537149546
2018-08-01,11.0306126324585,-4.810186112338944
2018-09-01,9.940854898595063,-4.523765374921336
2018-10-01,10.863779779596697,-6.9319111573598695
2018-11-01,5.051705370101601,-6.645693992360318
2018-12-01,-5.828086234538603,-6.232851955934264
2019-01-01,-12.695543783110011,-5.885280326047917
2019-02-01,-14.241712853461365,-0.1974575408704604
2019-03-01,-12.643983932324232,6.5045847077624686
2019-04-01,-8.457604883403391,12.710663285788762
2019-05-01,-4.1402252240391135,10.165680082284503
2019-06-01,-5.336357154515554,3.699037291328607
2019-07-01,-7.421475529583631,-6.738013141484527
2019-08-01,-7.7121086434111845,-10.960522603948501
2019-09-01,-6.327535002121337,-9.307139468291474
2019-10-01,-7.988517125321721,-9.525743259013858
2019-11-01,-4.243193534181273,-9.903377634229837
2019-12-01,6.261056476003873,-8.924800308302611
2020-01-01,15.61760626580731,-12.196914030231756
2020-02-01,15.178396846795849,-12.098661122107128
2020-03-01,8.877925980063765,-11.431343195995229
2020-04-01,-5.163001091873326,-7.986205170760832
2020-05-01,-17.254198179720547,-0.20686239809174056
2020-06-01,-13.87242846901458,4.201251389141528
2020-07-01,-8.631844721477037,13.702599109186117
2020-08-01,-8.715192512625677,15.909714301398107
2020-09-01,-11.199079651789518,17.599273009715883
2020-10-01,-13.492917339071198,15.9622708564582
2020-11-01,-14.116957482303079,14.536024588713804
2020-12-01,-12.114567017229803,19.073216483504147
2021-01-01,-8.115021610655376,22.250212878025692
2021-02-01,-5.52180128663332,19.988515773686913
2021-03-01,1.7434271862763353,12.972273634755606
2021-04-01,14.02138157894737,12.220884069845525
2021-05-01,23.038619010733655,16.464940164817055
2021-06-01,19.80823938468022,19.48880015031969
2021-07-01,19.34369602763384,21.877733785804043
2021-08-01,20.810070043650384,22.41611874395322
2021-09-01,21.003774354789357,23.054018570726
2021-10-01,26.500155456524,14.570208733044204
2021-11-01,33.462830743385155,8.447552435501084
2021-12-01,20.969548833893484,-1.7090147887544553
2022-01-01,12.815589901123147,-4.7308673240234675
2022-02-01,16.540571212407798,-6.784843279821854
2022-03-01,27.361861999450213,-2.643104708465588
2022-04-01,28.461954561846397,-4.731781986207379
2022-05-01,26.96285637197589,-12.088969755556729
2022-06-01,31.38686131386862,-15.232816832206336
2022-07-01,25.495871286285848,-16.199678376981367
2022-08-01,8.511889757163232,-18.88369965708915
2022-09-01,5.176192884842351,-21.43561940224574
2022-10-01,-2.0317876454202946,-12.727963784076572
2022-11-01,-6.78152781055779,-1.1448616622014978
2022-12-01,-4.840882303418084,6.744243635547885
2023-01-01,-4.280122532334914,5.6304645363861345
2023-02-01,-7.652357380508008,1.854214677291864
2023-03-01,-17.48327217785453,3.203612828451978
2023-04-01,-17.02575619341708,0.9080861232967748
2023-05-01,-16.512006800311667,1.6559645941318673
2023-06-01,-23.7817938420348,2.2229661441281148
2023-07-01,-22.79202279202279,4.146148765158367
2023-08-01,-4.5764286820504765,4.447321670014635
2023-09-01,1.8996473228598774,6.2448885050043055
2023-10-01,6.907509616992797,2.5082493853173933
2023-11-01,2.3715081441471995,-6.901078418208233
2023-12-01,2.0702468371228946,-9.99782298416487
2024-01-01,0.12445550715618481,-5.697763739999742
2024-02-01,2.0298769771529095,3.0613266643841817
