구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2010년10월08일,1966.79,1869.75,1862.82,1867.65,1845.35,1840.97,1876.16,1893.10,1885.53,1857.15,1871.87,1834.62,1818.00,1880.68,1878.56,,
2010년10월09일,1966.26,1869.10,1862.46,1869.74,1845.11,1842.00,1874.21,1893.36,1887.30,1851.89,1871.87,1840.50,1818.00,1878.28,1879.38,,
2010년10월10일,1966.98,1868.72,1861.95,1870.93,1846.14,1843.38,1874.21,1892.63,1881.42,1846.63,1871.57,1839.78,1819.81,1878.68,1879.22,,
2010년10월11일,1966.90,1867.93,1866.32,1870.93,1845.57,1843.11,1874.57,1892.71,1882.64,1851.89,1872.78,1839.48,1819.81,1879.04,1878.87,,
2010년10월12일,1978.95,1871.47,1870.52,1881.35,1848.88,1845.21,1881.73,1899.58,1887.66,1860.21,1875.24,1843.70,1823.45,1883.53,1880.50,,
2010년10월13일,1980.96,1875.28,1872.32,1886.80,1848.87,1849.51,1877.31,1902.07,1887.62,1856.52,1876.90,1844.81,1827.09,1883.53,1883.60,,
2010년10월14일,1981.73,1874.23,1872.72,1885.02,1847.96,1846.64,1884.10,1902.79,1889.76,1864.15,1877.42,1845.07,1829.41,1885.61,1880.77,,
2010년10월15일,1982.20,1875.23,1871.82,1886.70,1850.76,1847.45,1883.05,1902.50,1891.12,1859.94,1879.26,1845.42,1828.58,1873.65,1880.59,,
2010년10월16일,1983.30,1875.57,1872.62,1886.46,1851.27,1850.56,1881.85,1902.09,1892.32,1865.21,1881.47,1844.28,1826.30,1883.39,1881.63,,
2010년10월17일,1983.09,1875.00,1872.57,1888.24,1853.55,1852.45,1883.35,1902.65,1891.57,1854.68,1881.47,1846.42,1830.25,1883.92,1881.28,,
2010년10월18일,1983.09,1875.22,1869.83,1888.24,1859.20,1850.02,1885.50,1902.15,1890.03,1859.94,1882.05,1846.42,1834.91,1883.92,1879.87,,
2010년10월19일,1985.91,1877.18,1873.02,1893.68,1865.73,1852.21,1891.77,1905.29,1892.57,1859.94,1882.82,1851.82,1844.91,1884.14,1879.87,,
2010년10월20일,1986.40,1879.30,1875.64,1889.97,1864.68,1851.81,1890.22,1905.00,1892.57,1861.00,1883.55,1852.67,1842.41,1889.96,1880.28,,
2010년10월21일,1986.26,1879.86,1875.53,1890.40,1867.25,1849.10,1890.21,1905.67,1892.81,1866.78,1884.08,1856.03,1837.53,1889.25,1878.44,,
2010년10월22일,1986.53,1881.13,1874.68,1888.90,1865.54,1851.47,1887.57,1906.22,1893.18,1861.52,1884.08,1854.67,1839.07,1889.25,1879.87,,
2010년10월23일,1986.14,1880.83,1874.97,1889.90,1864.97,1850.97,1890.73,1906.09,1896.51,1867.78,1884.79,1856.10,1838.35,1890.32,1880.12,,
2010년10월24일,1986.22,1880.49,1874.57,1885.90,1865.54,1852.63,1890.73,1906.25,1894.29,1867.78,1885.97,1853.96,1838.35,1894.85,1880.12,,
2010년10월25일,1985.81,1880.01,1875.70,1890.17,1864.68,1852.36,1894.94,1905.76,1894.14,1867.78,1885.97,1855.39,1838.61,1891.68,1879.41,,
2010년10월26일,1981.72,1881.41,1874.04,1887.23,1868.40,1851.45,1890.42,1904.35,1888.44,1868.31,1885.02,1856.10,1837.84,1891.52,1878.73,,
2010년10월27일,1981.52,1881.87,1871.39,1886.89,1868.68,1852.00,1887.05,1904.40,1888.44,1857.78,1885.61,1853.10,1835.53,1894.11,1881.15,,
2010년10월28일,1981.50,1881.98,1871.26,1888.02,1868.68,1849.16,1886.00,1903.11,1890.00,1857.00,1884.55,1854.89,1842.53,1893.92,1882.47,,
2010년10월29일,1982.30,1882.33,1870.58,1885.12,1867.86,1849.43,1889.15,1902.15,1889.55,1867.52,1884.70,1852.75,1842.53,1892.00,1880.77,,
2010년10월30일,1981.86,1883.21,1868.35,1887.37,1866.40,1849.43,1893.05,1903.91,1887.44,1859.11,1883.63,1852.75,1835.61,1889.66,1881.51,,
