구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2008년07월12일,1632.02,1560.24,1550.71,1600.87,1521.00,1567.75,1576.26,1584.68,1548.46,1532.97,1536.14,1509.13,1537.98,1539.69,1550.98,1576.31,
2008년07월13일,1627.91,1564.77,1550.86,1589.69,1533.96,1553.00,1572.42,1586.45,1548.50,1537.98,1528.64,1510.00,1544.00,1538.64,1559.73,1561.18,
2008년07월14일,1632.49,1561.87,1551.23,1582.39,1519.63,1559.80,1564.69,1581.47,1548.13,1534.09,1534.19,1516.96,1532.97,1546.63,1554.24,1577.00,
2008년07월15일,1626.10,1569.93,1552.42,1586.02,1524.81,1555.59,1580.50,1582.52,1555.69,1542.55,1539.45,1520.57,1536.55,1549.40,1561.91,1570.46,
2008년07월16일,1631.00,1568.72,1549.81,1593.39,1525.96,1554.20,1572.25,1578.41,1547.95,1546.10,1543.50,1518.40,1531.77,1555.31,1553.97,1575.56,
2008년07월17일,1622.60,1564.14,1557.08,1583.46,1526.84,1557.48,1575.53,1582.43,1547.67,1545.11,1537.90,1519.38,1536.14,1551.75,1558.46,1575.75,
2008년07월18일,1626.59,1566.25,1564.32,1595.82,1525.95,1560.10,1575.55,1584.16,1541.08,1546.83,1538.13,1518.63,1541.20,1550.81,1561.50,1577.18,
2008년07월19일,1626.82,1569.15,1561.04,1602.05,1528.09,1563.73,1580.70,1579.31,1554.69,1550.68,1537.47,1520.86,1541.92,1553.77,1559.93,1581.16,
2008년07월20일,1620.42,1555.23,1564.45,1586.32,1526.00,1559.60,1553.33,1579.15,1546.27,1542.14,1540.51,1516.08,1546.62,1552.53,1557.63,1571.31,
2008년07월21일,1625.75,1566.14,1561.11,1588.48,1529.18,1554.50,1575.10,1575.32,1536.06,1536.28,1537.28,1518.78,1542.65,1554.06,1555.56,1552.00,
2008년07월22일,1623.89,1568.70,1556.63,1586.68,1534.14,1555.88,1574.23,1576.46,1546.76,1547.00,1534.11,1517.22,1541.68,1553.05,1565.85,1548.52,
2008년07월23일,1625.62,1561.15,1552.96,1586.15,1526.94,1552.48,1576.42,1576.77,1542.20,1544.94,1532.25,1517.60,1537.94,1552.43,1556.89,1551.22,
2008년07월24일,1600.24,1547.58,1551.38,1561.86,1517.94,1546.02,1569.32,1562.27,1531.03,1539.43,1529.75,1511.52,1530.76,1545.86,1554.02,1554.25,
2008년07월25일,1592.34,1548.23,1547.59,1555.49,1515.75,1543.77,1558.60,1549.87,1530.00,1535.73,1526.55,1509.40,1532.26,1545.39,1546.52,1515.44,
2008년07월26일,1587.55,1551.16,1544.48,1560.14,1517.57,1536.85,1552.24,1551.79,1529.11,1539.27,1526.25,1508.58,1529.59,1540.30,1549.68,1516.68,
2008년07월27일,1588.75,1544.29,1546.88,1552.41,1511.91,1562.96,1550.10,1549.55,1527.29,1526.55,1516.67,1503.29,1523.06,1541.99,1544.33,1502.00,
2008년07월28일,1592.44,1535.80,1538.13,1548.90,1518.26,1537.95,1532.60,1546.90,1523.36,1526.75,1514.35,1507.74,1519.42,1535.34,1533.38,1509.13,
2008년07월29일,1586.80,1538.45,1540.75,1551.55,1517.16,1546.21,1555.48,1546.94,1516.36,1524.04,1511.54,1491.92,1521.19,1538.31,1534.68,1500.84,
2008년07월30일,1577.93,1536.21,1537.50,1546.34,1513.55,1539.18,1544.58,1540.76,1516.58,1522.79,1511.90,1502.04,1520.81,1533.98,1537.43,1472.88,
2008년07월31일,1558.41,1538.54,1524.36,1526.48,1500.93,1527.47,1533.47,1520.30,1505.61,1509.48,1506.99,1496.98,1513.39,1522.24,1524.72,1475.62,
2008년08월01일,1545.43,1516.80,1517.41,1527.33,1497.37,1505.76,1522.73,1510.97,1501.56,1506.08,1492.06,1485.86,1507.01,1515.25,1517.60,1471.11,
2008년08월02일,1545.21,1501.00,1511.41,1522.77,1501.66,1510.57,1529.93,1504.11,1500.72,1517.18,1494.96,1482.78,1508.35,1516.82,1514.30,1463.56,
2008년08월03일,1528.50,1506.90,1520.09,1522.38,1497.81,1508.66,1541.10,1508.28,1499.03,1490.09,1492.54,1483.26,1508.92,1514.38,1504.73,1465.41,
2008년08월04일,1540.37,1504.12,1509.43,1517.41,1495.88,1505.52,1514.00,1501.28,1491.64,1493.84,1483.52,1472.14,1496.16,1506.20,1505.46,1476.69,
2008년08월05일,1540.92,1507.30,1511.11,1497.54,1497.60,1495.79,1506.44,1498.70,1488.40,1499.44,1486.39,1475.76,1501.60,1505.60,1503.65,1471.93,
2008년08월06일,1531.26,1499.20,1503.96,1513.41,1479.07,1492.81,1502.91,1496.89,1490.97,1481.97,1478.61,1467.69,1496.36,1499.77,1498.95,1431.13,
2008년08월07일,1499.06,1487.82,1492.26,1475.97,1486.34,1501.33,1494.38,1483.27,1479.39,1472.61,1471.92,1458.66,1479.56,1492.70,1481.03,1414.00,
2008년08월08일,1495.22,1485.67,1490.49,1488.16,1473.89,1504.26,1489.83,1469.19,1468.62,1469.75,1471.54,1460.93,1478.44,1483.42,1491.96,1429.21,
2008년08월09일,1488.50,1461.32,1487.50,1473.83,1471.61,1491.33,1483.39,1468.29,1467.53,1465.14,1452.40,1456.82,1468.67,1488.67,1478.50,1416.64,
2008년08월10일,1491.32,1472.15,1493.86,1470.61,1467.36,1474.54,1483.00,1466.28,1471.66,1463.94,1464.10,1449.40,1472.10,1484.01,1477.66,1424.63,
2008년08월11일,1489.66,1468.34,1475.04,1454.82,1475.38,1477.94,1485.75,1463.67,1455.16,1455.35,1447.27,1443.11,1467.38,1477.64,1471.76,1420.65,
2008년08월12일,1493.11,1464.06,1478.05,1463.48,1456.42,1477.41,1476.65,1463.42,1455.93,1457.34,1446.94,1451.41,1472.69,1469.12,1472.14,1429.16,
2008년08월13일,1484.95,1453.10,1462.04,1452.28,1462.15,1461.15,1466.76,1460.29,1455.77,1442.50,1427.15,1441.89,1462.11,1474.45,1465.06,1354.80,
2008년08월14일,1446.84,1442.60,1446.56,1439.43,1438.80,1452.36,1459.47,1440.14,1436.63,1439.38,1427.69,1420.40,1451.00,1459.90,1455.64,1372.81,
2008년08월15일,1433.45,1430.79,1454.18,1424.51,1439.65,1450.60,1434.76,1424.67,1421.90,1436.20,1425.93,1424.41,1451.11,1459.67,1450.17,1350.85,
2008년08월16일,1426.53,1429.35,1441.83,1429.50,1433.29,1439.65,1434.06,1415.59,1421.11,1438.75,1410.79,1421.45,1456.20,1448.38,1433.02,1355.23,
2008년08월17일,1429.58,1437.35,1433.60,1413.76,1432.69,1441.11,1434.41,1413.07,1417.84,1420.43,1400.38,1410.62,1441.61,1442.09,1440.51,1340.15,
2008년08월18일,1435.20,1422.11,1428.94,1426.40,1436.03,1434.53,1419.03,1411.26,1412.99,1422.90,1413.46,1400.14,1444.88,1432.57,1433.21,1343.86,
2008년08월19일,1437.60,1411.19,1424.72,1444.93,1428.38,1436.07,1428.50,1410.34,1408.33,1418.14,1399.60,1404.35,1431.22,1431.35,1436.53,1339.58,
2008년08월20일,1435.03,1420.20,1422.71,1407.31,1430.45,1408.45,1436.17,1409.73,1399.93,1411.44,1392.85,1401.44,1421.55,1424.03,1432.10,1366.15,
2008년08월21일,1419.67,1412.75,1408.47,1391.50,1446.61,1426.95,1426.35,1404.58,1400.21,1397.04,1391.05,1399.21,1418.41,1419.37,1427.52,1342.17,
2008년08월22일,1405.24,1411.31,1387.32,1390.86,1410.91,1422.34,1397.91,1381.91,1376.13,1383.54,1381.44,1457.60,1411.03,1408.06,1405.72,1298.63,
2008년08월23일,1403.33,1392.86,1399.28,1385.14,1405.53,1391.02,1407.82,1378.68,1374.42,1388.54,1364.31,1377.84,1409.46,1404.54,1406.40,1300.07,
2008년08월24일,1403.45,1395.00,1382.33,1376.17,1407.26,1434.86,1411.56,1375.33,1370.21,1375.04,1365.72,1379.23,1399.84,1403.83,1398.28,1318.71,
2008년08월25일,1398.37,1393.65,1382.04,1379.49,1420.21,1403.04,1400.16,1374.30,1366.52,1362.80,1354.69,1360.07,1386.68,1395.00,1395.09,1311.68,
2008년08월26일,1390.93,1398.38,1385.93,1377.93,1403.78,1391.51,1397.02,1369.95,1354.01,1361.86,1354.93,1359.42,1386.14,1384.16,1393.97,1319.80,
2008년08월27일,1398.29,1389.46,1380.24,1380.90,1390.31,1402.31,1401.24,1377.37,1360.18,1358.15,1346.89,1356.46,1386.02,1383.29,1390.54,1303.73,
2008년08월28일,1398.30,1389.90,1372.73,1383.39,1400.71,1392.97,1401.25,1370.73,1350.83,1352.88,1338.77,1345.43,1372.70,1372.98,1389.09,1281.43,
2008년08월29일,1394.07,1384.83,1379.56,1389.18,1390.80,1384.57,1381.17,1373.59,1351.24,1346.28,1342.54,1349.48,1378.11,1376.54,1388.81,1299.16,
2008년08월30일,1404.33,1376.69,1376.75,1389.06,1394.62,1403.51,1369.60,1368.29,1344.00,1341.30,1340.85,1344.53,1383.80,1372.71,1384.80,1279.50,
2008년08월31일,1393.05,1376.03,1377.92,1373.65,1373.03,1386.35,1376.90,1366.06,1349.83,1345.87,1340.34,1338.01,1367.50,1376.02,1375.11,1270.00,
2008년09월01일,1392.08,1376.91,1369.04,1370.23,1380.00,1395.81,1373.33,1369.03,1341.27,1340.22,1334.63,1405.37,1365.65,1360.64,1372.31,1275.21,
2008년09월02일,1389.46,1379.04,1355.61,1363.79,1350.66,1391.83,1389.62,1364.29,1349.10,1340.12,1335.35,1344.71,1366.71,1358.73,1365.65,1287.68,
2008년09월03일,1398.99,1371.60,1354.91,1363.90,1369.05,1391.88,1374.29,1367.59,1337.49,1342.48,1327.04,1336.27,1374.87,1359.84,1379.29,1284.36,
2008년09월04일,1410.12,1382.37,1368.18,1375.16,1384.52,1382.24,1364.32,1367.97,1340.78,1342.02,1332.83,1319.52,1365.05,1353.61,1370.75,1309.09,
2008년09월05일,1415.37,1372.87,1365.25,1371.03,1362.15,1382.00,1376.03,1369.16,1343.54,1338.23,1329.28,1326.12,1355.75,1356.77,1377.10,1308.88,
